transaction_id,timestamp,amount,customer_id,merchant_id,merchant_category,distance_from_home,customer_age,transaction_velocity_daily,fraud,account_id,transaction_type,location,ip_address,channel,customer_occupation,transaction_duration,verification_attempt,login_attempt,account_balance,account_type,hour_of_day,previous_transactions_timestamp
T00008721,2025-02-27 18:50:23,6616.0,C0002500,M00677,electronics,6.05,37,5,0,ACC98882576,DR,Meerut,103.1.180.249,Branch,Chef,28.9,1,1,68318.19,Savings,18,2025-02-26 11:51:54
T00001190,2025-02-27 18:55:14,6067.0,C0002460,M00427,travel,4.1,23,3,0,ACC67653606,DR,Bhopal,103.1.43.255,Branch,Architect,27.6,1,1,72625.59,Savings,18,2025-02-26 11:55:58
T00004936,2025-02-27 18:58:09,5477.0,C0001838,M00124,restaurant,7.95,43,2,0,ACC82109613,DR,Pune,103.6.23.52,Phone Banking,Student,35.7,1,1,50825.68,Salary,18,2025-02-25 19:24:32
T00001750,2025-02-27 19:02:36,366.0,C0001229,M00431,restaurant,5.04,41,2,0,ACC42580349,CR,Aurangabad,103.5.125.55,ATM,Consultant,22.2,1,1,29950.2,Current,19,2025-02-27 09:26:48
T00009863,2025-02-27 19:13:49,92219.0,C0001033,M00443,jewelry,61.11,0,5,1,ACC45833156,DR,Rajkot,103.5.56.227,Online,Business Owner,10.9,2,2,8480.76,Recurring Deposit,19,2025-02-27 12:56:20
T00009449,2025-02-27 19:17:09,11445.0,C0002061,M00203,entertainment,3.04,36,1,0,ACC19939096,DR,Meerut,103.2.126.209,Online,Self-employed,23.3,1,1,44235.23,Recurring Deposit,19,2025-02-26 17:53:54
T00002871,2025-02-27 19:20:50,8635.0,C0001353,M00870,electronics,6.12,58,4,0,ACC36661903,DR,Ahmedabad,103.6.125.103,Phone Banking,Business Owner,37.2,1,1,63432.81,Current,19,2025-02-26 14:41:33
T00005505,2025-02-27 19:22:13,12669.0,C0003587,M00332,travel,9.6,33,2,0,ACC42560305,CR,Agra,45.114.78.247,ATM,Homemaker,28.4,1,1,112629.82,Savings,19,2025-02-27 03:25:37
T00004167,2025-02-27 19:23:12,4268.0,C0000286,M00561,travel,7.28,38,5,0,ACC26588648,DR,Delhi,103.3.123.190,Branch,Student,27.0,1,1,8363.0,Savings,19,2025-02-26 00:33:21
T00003475,2025-02-27 19:27:28,1511.0,C0004790,M00873,retail,10.67,25,3,0,ACC36724061,DR,Chennai,103.5.70.211,Mobile App,Doctor,8.1,1,1,49151.65,Savings,19,2025-02-27 11:02:19
T00002358,2025-02-27 19:29:37,924.0,C0003832,M00137,healthcare,9.49,70,4,0,ACC92058189,DR,Varanasi,103.5.115.12,Branch,Student,17.6,1,1,65858.9,Salary,19,2025-02-27 04:59:17
T00005703,2025-02-27 19:43:21,2985.0,C0002469,M00781,electronics,1.78,47,1,0,ACC61998170,CR,Faridabad,103.1.109.59,Branch,IT Professional,19.3,1,1,68914.56,Savings,19,2025-02-26 03:58:11
T00000380,2025-02-27 19:43:33,2358.0,C0001243,M00443,healthcare,6.6,35,0,0,ACC11415698,DR,Rajkot,103.5.50.7,Mobile App,Consultant,18.1,1,1,33402.61,Recurring Deposit,19,2025-02-27 05:55:05
T00005742,2025-02-27 19:56:04,5572.0,C0004874,M00918,electronics,3.84,21,4,0,ACC68461818,DR,Nashik,103.2.178.131,Mobile App,Accountant,24.5,1,1,23245.77,Savings,19,2025-02-25 23:59:30
T00007232,2025-02-27 19:56:13,6976.000000000001,C0004457,M00859,retail,20.72,42,6,0,ACC88802305,DR,Bangalore,103.2.118.202,Branch,Lawyer,24.8,1,1,49038.04,Current,19,2025-02-26 21:01:04
T00005601,2025-02-27 19:59:14,4923.0,C0000901,M00504,retail,25.13,34,4,0,ACC88448538,DR,Chennai,45.113.132.224,Branch,Retired,23.8,1,1,72401.09,Current,19,2025-02-26 00:00:13
T00007396,2025-02-27 20:00:49,21891.0,C0003815,M00637,utilities,5.8,26,3,0,ACC43491314,DR,Lucknow,103.1.242.59,Online,Chef,-1.7,1,1,22011.04,Recurring Deposit,20,2025-02-27 14:11:54
T00005967,2025-02-27 20:02:30,18565.0,C0001527,M00445,entertainment,31.49,40,4,0,ACC16950770,DR,Kolkata,45.114.169.100,Mobile App,Retired,16.8,1,1,42275.64,Savings,20,2025-02-26 16:08:12
T00003241,2025-02-27 20:07:49,96141.0,C0003483,M00299,electronics,2.47,54,2,0,ACC81993070,DR,Kolkata,45.115.201.137,ATM,Chef,26.4,1,1,37341.86,Current,20,2025-02-27 05:44:13
T00006198,2025-02-27 20:08:49,4050.0,C0000973,M00293,utilities,17.78,65,2,0,ACC10209961,DR,Varanasi,103.2.187.108,Mobile App,Banker,19.2,1,1,34647.72,Recurring Deposit,20,2025-02-26 22:46:54
T00004551,2025-02-27 20:12:36,12639.0,C0000157,M00941,retail,66.06,55,3,0,ACC15205303,CR,Ghaziabad,45.115.97.204,Branch,Business Owner,38.7,1,1,82509.03,Salary,20,2025-02-26 07:08:00
T00002807,2025-02-27 20:14:12,2373.0,C0004275,M00652,utilities,11.72,31,3,0,ACC20952896,DR,Visakhapatnam,45.115.70.116,ATM,Doctor,32.3,1,1,115817.81,Current,20,2025-02-26 13:49:26
T00000287,2025-02-27 20:18:53,9833.0,C0002962,M00121,grocery,10.84,37,3,0,ACC38876195,DR,Dhanbad,45.113.47.247,Phone Banking,Nurse,18.7,1,1,71773.22,Savings,20,2025-02-25 20:40:37
T00006935,2025-02-27 20:24:38,8829.0,C0001211,M00303,restaurant,0.15,12,3,0,ACC48307798,CR,Amritsar,103.4.195.92,Branch,Banker,25.9,1,1,31903.15,Savings,20,2025-02-26 17:54:28
T00007767,2025-02-27 20:27:39,974.0,C0000032,M00966,electronics,7.14,37,4,0,ACC87641510,CR,Varanasi,103.7.148.159,Online,Homemaker,38.8,1,1,22772.61,Savings,20,2025-02-27 16:37:43
T00009753,2025-02-27 20:30:58,106658.0,C0001871,M00657,entertainment,24.01,29,16,1,ACC16511491,DR,Visakhapatnam,103.0.185.187,Online,Sales Professional,19.6,2,3,16838.08,Savings,20,2025-02-26 10:46:54
T00004778,2025-02-27 20:33:36,1826.0,C0004266,M00204,retail,12.81,64,1,0,ACC70693413,DR,Mumbai,45.113.11.32,Mobile App,Teacher,26.2,1,1,41398.95,Salary,20,2025-02-26 08:27:59
T00004750,2025-02-27 20:37:06,16467.0,C0002741,M00106,electronics,5.78,31,1,0,ACC19255216,CR,Amritsar,103.1.94.72,Phone Banking,Self-employed,33.2,1,1,30355.54,Savings,20,2025-02-27 19:13:02
T00000027,2025-02-27 20:37:26,7950.0,C0002066,M00437,electronics,2.37,59,2,0,ACC90117857,CR,Bhopal,103.1.36.2,Branch,Business Owner,31.3,1,1,78625.27,Recurring Deposit,20,2025-02-26 20:36:01
T00008720,2025-02-27 20:37:33,4006.0,C0002969,M00706,healthcare,4.56,39,2,0,ACC64126921,CR,Kolkata,45.115.140.101,Branch,Government Employee,5.1,1,1,56603.92,Savings,20,2025-02-26 16:28:57
T00004238,2025-02-27 20:59:58,23352.0,C0004261,M00251,electronics,2.99,21,3,0,ACC54099326,CR,Chennai,103.4.116.166,Mobile App,Banker,20.4,1,1,100307.59,Current,20,2025-02-26 12:38:03
T00007720,2025-02-27 21:04:09,4597.0,C0004078,M00387,utilities,4.94,56,4,0,ACC70570772,CR,Ludhiana,45.115.111.179,Phone Banking,Consultant,22.4,1,1,61768.87,Recurring Deposit,21,2025-02-26 23:59:21
T00000856,2025-02-27 21:06:23,2375.0,C0000717,M00486,electronics,55.59,35,0,0,ACC23721268,DR,Aurangabad,103.5.210.97,Branch,Engineer,22.0,1,1,74807.98,Recurring Deposit,21,2025-02-26 02:12:15
T00001203,2025-02-27 21:06:34,9400.0,C0002527,M00915,grocery,2.06,46,6,0,ACC13999315,DR,Jaipur,103.4.10.198,Mobile App,Business Owner,23.4,1,1,61099.39,Savings,21,2025-02-27 06:07:38
T00003150,2025-02-27 21:07:11,12672.0,C0003005,M00232,travel,15.87,44,4,0,ACC41062464,DR,Meerut,45.114.34.2,Online,Engineer,11.0,1,1,80175.5,Recurring Deposit,21,2025-02-26 19:42:22
T00000193,2025-02-27 21:07:38,1571.0,C0001350,M00858,travel,35.09,32,2,0,ACC50329802,DR,Nashik,45.113.21.32,Mobile App,Self-employed,33.9,1,1,71600.77,Salary,21,2025-02-27 16:12:32
T00002208,2025-02-27 21:08:32,3992.0,C0000766,M00299,electronics,13.08,22,1,0,ACC46385762,DR,Pune,103.1.5.110,ATM,Homemaker,23.5,1,1,32221.31,Current,21,2025-02-26 19:25:49
T00000439,2025-02-27 21:08:45,5165.0,C0003178,M00609,grocery,48.5,36,2,0,ACC52421060,CR,Dhanbad,45.114.125.210,Mobile App,Teacher,15.9,1,1,63049.42,Current,21,2025-02-26 01:45:31
T00003688,2025-02-27 21:13:09,19547.0,C0003851,M00295,retail,6.38,37,2,0,ACC79159799,DR,Pune,103.5.68.62,ATM,Sales Professional,41.8,1,1,86618.22,Savings,21,2025-02-27 00:28:43
T00004764,2025-02-27 21:21:08,2020.0,C0003470,M00583,retail,2.31,54,5,0,ACC43308414,DR,Aurangabad,103.5.62.118,Mobile App,Teacher,21.1,1,1,76951.82,Savings,21,2025-02-27 05:43:31
T00007314,2025-02-27 21:23:08,1785.0000000000002,C0001772,M00880,utilities,0.4,19,1,0,ACC57746984,DR,Ludhiana,103.7.155.60,ATM,Accountant,14.2,1,1,49537.32,Savings,21,2025-02-27 02:50:01
T00009009,2025-02-27 21:24:16,17210.0,C0004240,M00948,utilities,8.68,43,9,0,ACC25304396,DR,Pune,103.2.242.40,Phone Banking,Doctor,36.3,1,1,-13428.12,Salary,21,2025-02-27 09:57:35
T00000289,2025-02-27 21:29:56,2929.0,C0004530,M00283,electronics,16.71,45,2,0,ACC72336371,CR,Nashik,45.114.40.2,ATM,Banker,24.0,1,1,36238.75,Savings,21,2025-02-26 13:38:51
T00003516,2025-02-27 21:30:51,2464.0,C0003886,M00432,grocery,21.06,24,1,0,ACC99081734,CR,Patna,103.5.7.232,Online,Consultant,27.1,1,1,72072.3,Savings,21,2025-02-26 03:55:23
T00001861,2025-02-27 21:34:41,12283.0,C0002521,M00538,grocery,13.34,25,3,1,ACC34464938,DR,Rajkot,45.112.125.71,Phone Banking,Self-employed,27.0,1,1,84863.64,Salary,21,2025-02-26 04:34:08
T00004706,2025-02-27 21:37:33,22295.0,C0001505,M00044,healthcare,1.95,47,6,0,ACC34072553,DR,Agra,103.4.119.49,ATM,Chef,48.6,1,1,15581.15,Savings,21,2025-02-25 22:24:27
T00009272,2025-02-27 21:40:07,2007.0,C0001405,M00635,travel,7.17,49,2,0,ACC42029368,CR,Indore,103.2.139.120,Branch,Retired,19.2,1,1,66939.19,Savings,21,2025-02-26 03:11:43
T00001553,2025-02-27 21:43:35,2388.0,C0000371,M00770,retail,5.5,41,2,0,ACC82033413,CR,Aurangabad,103.3.44.20,Phone Banking,Business Owner,13.0,1,1,109384.17,Savings,21,2025-02-27 18:56:43
T00006599,2025-02-27 21:58:52,31136.0,C0001122,M00048,healthcare,9.77,33,4,0,ACC30317091,DR,Amritsar,103.7.1.186,Phone Banking,Doctor,16.9,1,1,68673.1,Current,21,2025-02-26 10:26:03
T00002679,2025-02-27 22:02:25,4195.0,C0000385,M00808,retail,0.19,45,1,0,ACC84285882,CR,Nagpur,103.7.180.179,Online,Doctor,21.1,1,1,81023.13,Recurring Deposit,22,2025-02-27 04:20:32
T00004813,2025-02-27 22:09:27,2444.0,C0000774,M00254,entertainment,10.99,32,0,0,ACC21985619,DR,Lucknow,103.1.246.196,Online,Driver,14.5,1,1,67134.67,Savings,22,2025-02-26 22:29:08
T00000657,2025-02-27 22:17:01,5330.0,C0003167,M00231,entertainment,7.99,43,2,0,ACC11699863,CR,Dhanbad,103.3.56.75,Online,Teacher,9.4,1,1,26620.45,Current,22,2025-02-26 12:33:29
T00005951,2025-02-27 22:22:40,5600.0,C0004792,M00673,grocery,26.7,57,5,0,ACC43046464,CR,Pune,103.5.127.111,Mobile App,Nurse,11.3,1,1,42770.92,Recurring Deposit,22,2025-02-26 15:41:32
T00009647,2025-02-27 22:25:23,214179.0,C0003199,M00016,jewelry,61.12,21,12,1,ACC36941091,DR,Delhi,103.1.50.156,Online,Driver,23.9,2,2,45483.04,Recurring Deposit,22,2025-02-27 23:48:18
T00000466,2025-02-27 22:26:17,10090.0,C0003705,M00492,electronics,10.45,48,3,0,ACC24879094,CR,Bangalore,45.114.108.105,Phone Banking,Retired,50.3,1,1,38148.1,Salary,22,2025-02-26 06:29:55
T00009840,2025-02-27 22:27:33,6828.0,C0004995,M00309,electronics,82.37,23,10,1,ACC53752954,DR,Varanasi,103.7.14.70,Online,Driver,8.8,1,2,21062.28,Current,22,2025-02-27 23:48:18
T00001681,2025-02-27 22:28:47,5329.0,C0000246,M00032,electronics,17.6,51,3,0,ACC60961690,CR,Bhopal,103.2.47.254,ATM,Homemaker,11.0,1,1,18727.72,Savings,22,2025-02-26 18:53:17
T00007892,2025-02-27 22:31:27,1654.0,C0001166,M00433,restaurant,6.58,47,2,0,ACC35319707,CR,Jaipur,103.5.170.21,Phone Banking,Doctor,-0.1,1,1,102686.19,Savings,22,2025-02-26 03:46:36
T00004939,2025-02-27 22:45:25,1346.0,C0000188,M00514,healthcare,3.81,31,2,0,ACC38143348,CR,Nashik,103.3.88.227,Phone Banking,IT Professional,36.4,1,1,74366.97,Current,22,2025-02-27 15:10:18
T00004757,2025-02-27 22:45:31,19655.0,C0002649,M00399,restaurant,4.67,40,3,0,ACC93967184,CR,Hyderabad,103.1.213.164,Phone Banking,Nurse,29.2,1,1,479.54,Current,22,2025-02-27 06:46:06
T00006429,2025-02-27 22:45:49,3424.0,C0004533,M00758,utilities,6.2,38,4,0,ACC66268745,CR,Vadodara,103.0.71.191,Phone Banking,Self-employed,25.5,1,1,72604.57,Current,22,2025-02-26 18:05:31
T00006119,2025-02-27 22:56:36,3870.000000000001,C0002431,M00940,travel,24.68,54,1,0,ACC33336132,CR,Rajkot,45.115.110.78,Online,Manager,12.8,1,1,31122.8,Current,22,2025-02-26 17:47:12
T00004411,2025-02-27 22:59:33,5136.0,C0001636,M00720,electronics,1.85,50,2,0,ACC58895439,DR,Mumbai,45.114.147.77,Online,Teacher,26.7,1,1,12040.27,Salary,22,2025-02-26 03:28:11
T00006906,2025-02-27 23:02:34,1705.0,C0000244,M00944,travel,10.49,49,0,0,ACC35319707,CR,Nagpur,103.4.233.223,Branch,Business Owner,21.4,1,1,1253.16,Savings,23,2025-02-26 21:15:52
T00007979,2025-02-27 23:03:14,982.0,C0004881,M00419,grocery,16.75,46,3,0,ACC58116670,DR,Dhanbad,45.113.8.153,Phone Banking,Sales Professional,30.4,1,1,72130.24,Savings,23,2025-02-27 21:41:11
T00003500,2025-02-27 23:07:06,17780.0,C0004204,M00085,grocery,25.1,13,1,0,ACC17440911,DR,Varanasi,103.5.241.205,Phone Banking,Doctor,21.4,1,1,7765.79,Savings,23,2025-02-27 03:55:22
T00005036,2025-02-27 23:08:31,48546.0,C0004217,M00376,restaurant,32.77,19,4,0,ACC71028710,CR,Ahmedabad,103.3.11.144,Online,Architect,40.2,1,1,54729.36,Salary,23,2025-02-27 12:40:58
T00009970,2025-02-27 23:09:58,19268.0,C0001294,M00277,travel,62.14,15,6,1,ACC33763566,DR,Bangalore,103.2.41.37,Online,Engineer,16.9,2,3,15401.97,Savings,23,2025-02-26 20:05:12
T00004273,2025-02-27 23:13:17,1855.0,C0002480,M00491,utilities,27.72,48,1,0,ACC22097496,CR,Nagpur,45.115.18.56,Online,Consultant,11.9,1,1,40271.52,Recurring Deposit,23,2025-02-27 06:02:29
T00003476,2025-02-27 23:16:24,14516.0,C0003675,M00189,entertainment,24.22,37,1,0,ACC94299475,DR,Varanasi,103.4.213.20,Online,Engineer,24.4,1,1,38888.76,Salary,23,2025-02-26 17:43:10
T00007693,2025-02-27 23:17:26,4652.0,C0003346,M00778,utilities,10.1,50,3,0,ACC48571356,CR,Thane,103.4.223.83,Branch,Business Owner,32.6,1,1,9338.99,Recurring Deposit,23,2025-02-26 17:18:18
T00005668,2025-02-27 23:18:45,968.0,C0000141,M00140,travel,13.54,45,0,0,ACC84674816,DR,Srinagar,45.114.145.185,Mobile App,Consultant,21.2,1,1,21286.17,Current,23,2025-02-27 15:43:40
T00005880,2025-02-27 23:23:07,493.0,C0002583,M00808,grocery,10.68,64,3,0,ACC88769733,DR,Thane,103.0.149.49,Phone Banking,Government Employee,22.0,1,1,12126.38,Savings,23,2025-02-26 21:26:40
T00000496,2025-02-27 23:23:28,1935.0,C0003125,M00250,travel,3.42,29,2,0,ACC57623800,DR,Bangalore,103.7.75.9,Mobile App,Accountant,32.1,1,1,32086.76,Savings,23,2025-02-25 23:47:02
T00003689,2025-02-27 23:29:57,4691.0,C0003967,M00481,healthcare,15.11,43,5,0,ACC38428357,DR,Bhopal,45.114.104.207,Phone Banking,Manager,18.6,1,1,11181.35,Salary,23,2025-02-26 04:10:37
T00006303,2025-02-27 23:36:45,16863.0,C0003339,M00002,healthcare,1.37,50,2,0,ACC82475098,CR,Nashik,103.6.156.180,Phone Banking,Manager,18.0,1,1,15097.24,Recurring Deposit,23,2025-02-27 12:29:17
T00009785,2025-02-27 23:41:46,21186.0,C0000910,M00938,electronics,1.94,52,5,1,ACC29834119,DR,Aurangabad,103.5.34.179,Mobile App,Government Employee,13.1,1,3,56320.1,Salary,23,2025-02-26 05:44:51
T00008632,2025-02-27 23:44:26,24849.0,C0002604,M00772,healthcare,17.73,3,3,0,ACC46836194,CR,Visakhapatnam,103.4.188.190,Branch,Consultant,22.6,1,1,11304.11,Salary,23,2025-02-27 00:34:32
T00002333,2025-02-27 23:46:22,3821.0,C0001403,M00765,utilities,3.63,34,2,0,ACC34678492,CR,Rajkot,103.4.28.72,Branch,Chef,32.8,1,1,63178.92,Savings,23,2025-02-26 11:34:27
T00004974,2025-02-27 23:52:14,1253.0,C0003006,M00222,restaurant,7.26,45,6,0,ACC10344739,DR,Ludhiana,45.114.175.140,Mobile App,Manager,22.7,1,1,9120.29,Savings,23,2025-02-26 01:36:15
T00008639,2025-02-27 23:53:10,2949.0,C0000861,M00213,healthcare,4.75,56,0,0,ACC74180488,CR,Visakhapatnam,103.5.131.192,Mobile App,Sales Professional,11.8,1,1,56952.77,Salary,23,2025-02-26 03:04:46
T00007111,2025-02-27 23:53:33,6429.000000000001,C0000178,M00140,electronics,4.84,46,2,0,ACC13356886,CR,Amritsar,45.112.47.208,Phone Banking,Retired,11.5,1,1,38865.15,Savings,23,2025-02-26 18:59:04
T00000608,2025-02-27 23:58:37,922.0,C0001695,M00376,electronics,5.9,37,0,0,ACC72445234,DR,Dhanbad,45.113.33.1,Online,Engineer,33.7,1,1,57701.05,Recurring Deposit,23,2025-02-26 07:09:31
T00009496,2025-02-27 23:59:10,18920.0,C0003562,M00505,grocery,8.41,19,1,0,ACC45482091,CR,Hyderabad,45.112.166.47,Online,Self-employed,23.1,1,1,116496.41,Recurring Deposit,23,2025-02-27 14:29:29
T00001680,2025-02-27 23:59:34,8176.000000000001,C0002767,M00440,healthcare,24.03,33,2,0,ACC33318633,DR,Bhopal,103.5.45.8,Mobile App,Driver,10.7,1,1,34094.43,Salary,23,2025-02-26 21:57:43
T00000146,2025-02-28 00:00:10,1585.0,C0003386,M00612,travel,1.4,32,2,0,ACC19510312,CR,Vadodara,103.2.60.174,Mobile App,Consultant,33.5,1,1,26030.31,Current,0,2025-02-27 09:59:24
T00008916,2025-02-28 00:03:53,31830.0,C0003510,M00811,healthcare,2.89,45,1,0,ACC53440052,DR,Patna,103.2.150.136,ATM,Student,18.3,1,1,34884.26,Savings,0,2025-02-26 16:14:42
T00004693,2025-02-28 00:04:37,9247.0,C0000066,M00106,electronics,2.02,50,5,0,ACC46997080,DR,Faridabad,103.0.223.35,Branch,Retired,14.6,1,1,55675.31,Current,0,2025-02-26 00:56:50
T00000348,2025-02-28 00:05:18,2662.0,C0001007,M00290,entertainment,66.44,50,4,0,ACC59731689,CR,Lucknow,103.1.31.58,Online,Architect,31.3,1,1,56440.71,Current,0,2025-02-26 06:14:26
T00001585,2025-02-28 00:08:27,10919.0,C0001291,M00632,entertainment,6.46,43,2,0,ACC19995059,DR,Patna,103.5.190.10,Online,Driver,13.8,1,1,40489.81,Recurring Deposit,0,2025-02-27 15:42:24
T00005228,2025-02-28 00:16:49,9951.0,C0000508,M00287,restaurant,3.92,44,3,0,ACC23556182,DR,Bhopal,45.112.145.5,Mobile App,Homemaker,8.0,1,1,127805.07,Savings,0,2025-02-26 16:29:59
T00003892,2025-02-28 00:19:50,2453.0,C0000649,M00408,restaurant,6.76,44,5,0,ACC59239353,CR,Indore,103.0.113.82,Online,Consultant,37.7,1,1,6430.05,Savings,0,2025-02-27 21:08:50
T00000056,2025-02-28 00:24:18,2359.0,C0003795,M00547,healthcare,3.11,53,0,0,ACC97813295,DR,Chennai,103.1.104.217,Phone Banking,Homemaker,15.2,1,1,47083.68,Salary,0,2025-02-26 19:36:53
T00003991,2025-02-28 00:26:54,3408.0,C0001593,M00416,utilities,1.65,48,3,0,ACC19794273,DR,Bangalore,103.7.236.161,Online,Business Owner,17.9,1,1,32113.88,Savings,0,2025-02-27 00:35:57
T00005543,2025-02-28 00:41:03,4481.0,C0000193,M00112,utilities,14.99,35,3,0,ACC24314759,DR,Lucknow,45.115.107.88,Online,Doctor,17.6,1,1,9428.89,Savings,0,2025-02-27 22:49:24
T00007293,2025-02-28 00:43:14,2053.0,C0003353,M00067,travel,58.91,66,4,0,ACC82498004,CR,Hyderabad,45.113.68.238,Branch,Teacher,17.2,1,1,68286.53,Savings,0,2025-02-27 08:04:51
